,ids,class,fold,target
0,endpoint/great_tit/open-uri20210630-1223739-1sw8v9y+.jpg,great_tit,2,22
1,endpoint/great_tit/open-uri20210630-1223739-1vljq5x+.jpg,great_tit,1,22
2,endpoint/great_tit/open-uri20210630-1223739-a5ete0+.jpg,great_tit,1,22
3,endpoint/great_tit/open-uri20210703-1531991-abztih+.jpg,great_tit,2,22
4,endpoint/great_tit/open-uri20210703-1531991-3lvuus+.jpg,great_tit,0,22
5,endpoint/great_tit/open-uri20210630-1223739-19c8pn+.jpg,great_tit,3,22
6,endpoint/great_tit/open-uri20210630-1223739-1vrodqq+.jpg,great_tit,0,22
7,endpoint/great_tit/open-uri20210630-1223739-cj64zb+.jpg,great_tit,4,22
8,endpoint/great_tit/open-uri20210630-1223739-4grfec+.jpg,great_tit,4,22
9,endpoint/great_tit/open-uri20210630-1223739-fbeigt+.jpg,great_tit,0,22
10,endpoint/great_tit/open-uri20210630-1223739-y1zpl5+.jpg,great_tit,0,22
11,endpoint/great_tit/open-uri20210630-1223739-nbte0q+.jpg,great_tit,4,22
12,endpoint/great_tit/open-uri20210630-1223739-1rli96m+.jpg,great_tit,1,22
13,endpoint/great_tit/open-uri20210630-1223739-17p2scu+.jpg,great_tit,1,22
14,endpoint/great_tit/open-uri20210630-1223739-pwgriz+.jpg,great_tit,2,22
15,endpoint/great_tit/open-uri20210703-1531991-1466gr7+.jpg,great_tit,1,22
16,endpoint/great_tit/open-uri20210630-1223739-112kiz4+.jpg,great_tit,4,22
17,endpoint/great_tit/open-uri20210630-1223739-fo5a0i+.jpg,great_tit,3,22
18,endpoint/great_tit/open-uri20210630-1223739-1stmi0v+.jpg,great_tit,2,22
19,endpoint/great_tit/open-uri20210703-1531991-1u1gbm7+.jpg,great_tit,3,22
20,endpoint/great_tit/open-uri20210630-1223739-zqvd7v+.jpg,great_tit,0,22
21,endpoint/great_tit/open-uri20210630-1223739-hrhpjg+.jpg,great_tit,3,22
22,endpoint/great_tit/open-uri20210630-1223739-1544upv+.jpg,great_tit,3,22
23,endpoint/great_tit/open-uri20210703-1531991-12ggv2e+.jpg,great_tit,3,22
24,endpoint/great_tit/open-uri20210703-1531991-m90pzp+.jpg,great_tit,0,22
